FECHA,N1,N2,N3,N4,N5,N6,Complementario,Reintegro
9/10/2023,5,7,11,28,36,39,44,8
7/10/2023,9,17,24,30,38,45,39,4
5/10/2023,4,6,14,35,40,45,11,2
2/10/2023,2,3,7,21,34,39,35,4
30/09/2023,5,6,11,12,14,41,20,2
28/09/2023,1,14,23,32,39,47,4,7
25/09/2023,5,10,16,30,33,38,32,3
23/09/2023,20,21,26,37,42,49,7,7
21/09/2023,9,16,17,22,39,42,8,8
18/09/2023,2,7,10,20,31,40,42,7
16/09/2023,5,10,12,13,32,33,26,7
14/09/2023,16,24,33,36,44,46,21,3
11/09/2023,3,5,25,39,43,44,16,8
9/09/2023,8,11,13,20,27,42,25,8
7/09/2023,1,15,24,27,30,40,46,9
4/09/2023,19,23,28,37,41,46,24,8
2/09/2023,19,25,30,39,42,44,18,7
31/08/2023,12,17,28,32,41,45,23,4
28/08/2023,3,22,42,43,46,48,38,4
26/08/2023,7,10,21,28,30,33,5,7
24/08/2023,13,18,38,39,42,46,26,7
21/08/2023,11,15,17,20,37,46,6,3
19/08/2023,2,3,12,26,31,42,43,9
17/08/2023,2,8,11,12,16,18,6,0
14/08/2023,11,20,33,38,44,48,15,3
12/08/2023,12,13,15,28,40,42,47,0
10/08/2023,10,17,20,25,28,42,6,8
7/08/2023,16,25,26,31,45,47,48,1
5/08/2023,4,5,8,11,20,40,31,5
3/08/2023,3,8,12,13,29,31,25,6
31/07/2023,1,10,17,25,26,41,22,5
29/07/2023,16,23,26,33,40,41,2,5
27/07/2023,4,10,20,24,42,48,11,1
24/07/2023,5,13,15,23,29,35,14,2
22/07/2023,2,6,11,19,22,33,31,6
20/07/2023,11,15,27,30,40,47,9,5
17/07/2023,2,14,32,33,35,46,20,3
15/07/2023,5,11,16,35,37,43,13,5
13/07/2023,1,7,17,33,38,40,41,6
10/07/2023,11,16,26,30,43,44,10,6
8/07/2023,1,16,20,21,23,26,7,2
6/07/2023,17,19,33,34,37,43,45,7
3/07/2023,8,16,20,39,45,46,12,5
1/07/2023,11,13,27,33,40,48,18,3
29/06/2023,5,32,35,41,42,45,26,7
26/06/2023,3,5,18,32,34,36,4,2
24/06/2023,3,7,10,28,39,48,49,2
